Overall_rank,Country_or_region,Score,GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Continent,Population
113,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,Africa,2489098
100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,Asia,29348627
5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,Europe,17434557
8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,Oceania,5061133
45,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127,North America,6755895
114,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,Africa,24333639
85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,Africa,208327405
84,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,Europe,2111072
3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,Europe,5379839
67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,Asia,227196741
110,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066,Asia,5019401
31,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054,North America,4294396
63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,South America,6618695
65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,South America,33304756
69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,Asia,112190977
40,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05,Europe,38428366
66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,Europe,10298192
29,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167,Asia,2760385
48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,Europe,19442038
68,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031,Europe,145617329
152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,Africa,13146362
28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,Asia,35997107
111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,Africa,16436119
70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,Europe,7358005
129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,Africa,8233969
34,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453,Asia,5909869
38,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014,Europe,5456681
44,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,Europe,2117641
112,Somalia,4.668,0,0.698,0.268,0.559,0.243,0.27,Africa,16537016
106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,Africa,58801927
54,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056,Asia,51844690
30,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,Europe,47363807
130,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,Asia,21715079
7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,Europe,10368969
6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,Europe,8638613
149,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141,Asia,20772595
25,Taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097,Asia,23821464
74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,Asia,9543207
153,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,Africa,61704518
52,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,Asia,71475664
139,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,Africa,1299995
39,Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016,North America,8442580
124,Tunisia,4.461,0.921,1,0.815,0.167,0.059,0.055,Africa,12161723
79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,Asia,84135428
87,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,Asia,6250438
136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,Africa,44404611
133,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,Europe,43909666
21,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182,Asia,9287289
15,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278,Europe,67059474
19,United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128,North America,335942003
33,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15,South America,3429086
41,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,Asia,33526656
108,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047,South America,28490453
94,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073,Asia,96648685
151,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077,Asia,32284046
138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,Africa,18927715
146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,Africa,15669666
